smiles,Compound ID,ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,description,chembl_id
OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O ,Amigdalin,-0.974,1,457.4320000000001,7,3,7,202.32,-0.77,,
Cc1occc1C(=O)Nc2ccccc2,Fenfuram,-2.885,1,201.225,1,2,2,42.24,-3.3,,
CC(C)=CCCC(C)=CC(=O),citral,-2.579,1,152.237,0,0,4,17.07,-2.06,,
c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43,Picene,-6.617999999999999,2,278.354,0,5,0,0.0,-7.87,,
c1ccsc1,Thiophene,-2.232,2,84.14299999999999,0,1,0,0.0,-1.33,"This molecule appears as a colorless liquid with an unpleasant odor. Insoluble in water and slightly denser than water. Flash point 30 °F. Vapors heavier than air. Irritates the skin, eyes, and mucous membranes. Used to make pharmaceuticals and dyes. This molecule is a monocyclic heteroarene that is furan in which the oxygen atom is replaced by a sulfur. It has a role as a non-polar solvent. It is a mancude organic heteromonocyclic parent, a member of thiophenes, a monocyclic heteroarene and a volatile organic compound. This molecule is a metabolite found in or produced by Saccharomyces cerevisiae. This molecule is a natural product found in Solanum lycopersicum, Coffea arabica, and other organisms with data available.",CHEMBL278958
c2ccc1scnc1c2 ,benzothiazole,-2.733,2,135.191,0,2,0,12.89,-1.5,,
Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,"2,2,4,6,6'-PCB",-6.545,1,326.437,0,2,1,0.0,-7.32,,
CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O,Estradiol,-4.138,1,272.388,2,4,0,40.46,-5.03,,
ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,Dieldrin,-4.533,1,380.913,0,5,0,12.53,-6.29,,
COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C ,Rotenone,-5.246,1,394.4230000000002,0,5,3,63.22,-4.42,,
O=C1CCCN1,2-pyrrolidone,0.243,1,85.10600000000001,1,1,0,29.1,1.07,"These molecules is the simplest member of the class of pyrrolidin-2-ones, consisting of pyrrolidine in which the hydrogens at position 2 are replaced by an oxo group. The lactam arising by the formal intramolecular condensation of the amino and carboxy groups of gamma-aminobutyric acid (GABA). It has a role as a polar solvent and a metabolite. This molecule is a natural product found in Ascochyta medicaginicola, Microtropis japonica, and other organisms with data available.",CHEMBL276849
Clc1ccc2ccccc2c1,2-Chloronapthalene,-4.063,1,162.61899999999997,0,2,0,0.0,-4.14,Monoclinic plates or off-white crystalline powder. Melting point 59.5 °C.,CHEMBL372646
CCCC=C,1-Pentene ,-2.01,1,70.135,0,0,2,0.0,-2.68,,
CCC1(C(=O)NCNC1=O)c2ccccc2,Primidone,-1.897,1,218.256,2,2,2,58.2,-2.64,,
CCCCCCCCCCCCCC,Tetradecane,-5.45,1,198.39399999999995,0,0,11,0.0,-7.96,"This molecule is a colorless liquid. Must be preheated before ignition can occur. (NTP, 1992) This molecule is a straight chain alkane consisting of 14 carbon atoms. It has a role as a plant metabolite and a volatile oil component. This molecule is a natural product found in Francisella tularensis, Camellia sinensis, and other organisms with data available.",CHEMBL135488
CC(C)Cl,2-Chloropropane,-1.585,1,78.542,0,0,0,0.0,-1.41,,
CCC(C)CO,2-Methylbutanol,-1.027,1,88.14999999999999,1,0,2,20.23,-0.47,"This molecule is a primary alcohol that is isopentane substituted by a hydroxy group at position 1. It has a role as a Saccharomyces cerevisiae metabolite. It is an alkyl alcohol and a primary alcohol. It derives from a hydride of an isopentane. This molecule is a metabolite found in or produced by Saccharomyces cerevisiae. This molecule is a natural product found in Francisella tularensis, Camellia sinensis, and other organisms with data available.",CHEMBL451923
N#Cc1ccccc1,Benzonitrile,-2.03,1,103.12399999999997,0,1,0,23.79,-1.0,"This molecule appears as a clear colorless liquid with an almond-like odor. Flash point 161 °F. Denser (at 8.4 lb / gal) than water and slightly soluble in water. Used as a specialty solvent and to make other chemicals. This molecule is a nitrile that is hydrogen cyanide in which the hydrogen has been replaced by a phenyl group. It is a member of benzenes and a nitrile. This molecule is a natural product found in Arctostaphylos uva-ursi with data available. This molecule is a chemical compound of cyanide. It is a useful solvent and a versatile precursor to many derivatives, thus it is often used in organic chemistry. (L588)",CHEMBL15819
CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,Diazinon,-3.989,1,304.35200000000003,0,1,7,53.47,-3.64,,
CCCCCCCCCC(C)O,2-Undecanol,-3.096,1,172.312,1,0,8,20.23,-2.94,"This molecule is a secondary alcohol that is undecane substituted by a hydroxy group at position 2. It has a role as a plant metabolite, a flavouring agent, a volatile oil component, a pheromone and an animal metabolite. It is an undecanol and a secondary alcohol. This molecule is a natural product found in Francisella tularensis, Humulus lupulus, and other organisms with data available.",CHEMBL4633278
Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl ,"2,2',3,4,6-PCB",-6.627000000000001,1,326.437,0,2,1,0.0,-7.43,,
O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3,Lenacil,-3.355,1,234.29899999999995,1,3,1,54.86,-4.593999999999999,,
CCOP(=S)(OCC)SCSCC,Phorate,-3.747,1,260.386,0,0,8,18.46,-4.11,"This molecule is a clear liquid with an objectionable odor. Used as an insecticide and acaricide; it is applied to plants and soil. (EPA, 1998) This molecule is an organic thiophosphate and an organothiophosphate insecticide. It has a role as an EC 3.1.1.7 (acetylcholinesterase) inhibitor, an EC 3.1.1.8 (cholinesterase) inhibitor, an acaricide and an agrochemical. It is functionally related to an (ethylsulfanyl)methanethiol. This molecule is a synthetic organophosphate acetylcholinesterase inhibitor that is used as a pesticide. It is characterized as a colorless to pale yellow or light brown liquid with a skunk-like odor, and exposure occurs by inhalation, ingestion, or contact. This molecule is an organophosphate insecticide and acaricide that controls pests by systemic, contact, and fumigant action. It is used against sucking and chewing insects, leafhoppers, leafminers, mites, some nematodes and rootworms. This molecule is used in pine forests and on root and field crops, including corn, cotton, coffee, some ornamental and herbaceous plants and bulbs. This molecule is extremely toxic; it is a Restricted Use Pesticide (RUP) and is among the most poisonous chemicals commonly used for pest control. (L1186)",CHEMBL510014
CCOc1ccc(NC(=O)C)cc1,Phenacetin,-2.342,1,179.219,1,1,3,38.33,-2.35,,
CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O,Dinitramine,-4.479,1,322.243,1,1,5,115.54000000000002,-5.47,,
CCCCCCCO,1-Heptanol,-1.751,1,116.204,1,0,5,20.23,-1.81,"Watery colorless liquid with a weak alcohol odor. Floats on water. (USCG, 1999) This molecule is a primary alcohol that is heptane substituted by a hydroxy group at position 1. It has been isolated from Capillipedium parviflorum. It has a role as a plant metabolite, a fragrance, a flavouring agent and a gap junctional intercellular communication inhibitor. It is a primary alcohol and a heptanol. This molecule is a metabolite found in or produced by Saccharomyces cerevisiae. This molecule is a natural product found in Magnolia officinalis, Zea mays, and other organisms with data available.",CHEMBL273459
Cn1c(=O)n(C)c2nc[nH]c2c1=O,Theophylline,-1.452,1,180.167,1,2,0,72.68,-1.39,,
