smiles,freesolv,description,chembl_id
CN(C)C(=O)c1ccc(cc1)OC,-11.01,,
CS(=O)(=O)Cl,-4.87,,
CC(C)C=C,1.83,,
CCc1cnccn1,-5.45,"This molecule is a member of the class of pyrazines that is pyrazine in which one of the hydrogens is replaced by an ethyl group. Found particularly in cereals and cereal products, it is present in baked or fried potato, bread, roasted peanuts, and cooked shrimp, as well as cocoa, coffee, and tea. It has a musty, nutty, buttery, peanut odor and a chocolate-peanut taste. It has a role as a fragrance, a flavouring agent and a Maillard reaction product. This molecule is a natural product found in Camellia sinensis, Perilla frutescens, and other organisms with data available.",CHEMBL97525
CCCCCCCO,-4.21,"Watery colorless liquid with a weak alcohol odor. Floats on water. (USCG, 1999) This molecule is a primary alcohol that is heptane substituted by a hydroxy group at position 1. It has been isolated from Capillipedium parviflorum. It has a role as a plant metabolite, a fragrance, a flavouring agent and a gap junctional intercellular communication inhibitor. It is a primary alcohol and a heptanol. This molecule is a metabolite found in or produced by Saccharomyces cerevisiae. This molecule is a natural product found in Magnolia officinalis, Zea mays, and other organisms with data available.",CHEMBL273459
Cc1cc(cc(c1)O)C,-6.27,,
CC(C)C(C)C,2.34,"This molecule appears as a clear colorless liquid with a petroleum-like odor. Flash point -20 °F. Less dense than water and insoluble in water. Vapors heavier than air. This molecule is an alkane that is butane substituted by a methyl group at positions 2 and 3. It is an alkane and a volatile organic compound. It derives from a hydride of a butane. This molecule is an isomer of hexane. Hexane is a chemical made from crude oil. It is highly flammable, and its vapors can be explosive. Pure hexane is used in laboratories. Most of the hexane used in industry is mixed with similar chemicals called solvents. The major use for solvents containing hexane is to extract vegetable oils from crops such as soybeans. These solvents are also used as cleaning agents in the printing, textile, furniture, and shoemaking industries. Certain kinds of special glues used in the roofing and shoe and leather industries also contain hexane. Several consumer products contain hexane, such as gasoline, quick-drying glues used in various hobbies, and rubber cement. (L175)",CHEMBL1344453
CCCC(C)(C)O,-3.92,This molecule appears as a colorless liquid. Less dense than water. Vapors heavier than air. Used to make other chemicals. This molecule is a natural product found in Spondias mombin with data available.,CHEMBL450417
C[C@@H]1CCCC[C@@H]1C,1.58,,
CC[C@H](C)O,-4.62,,
C(Br)Br,-1.96,,
CC[C@H](C(C)C)O,-3.88,,
CCc1ccccn1,-4.33,This molecule is a natural product found in Camellia sinensis and Mentha arvensis with data available.,CHEMBL279305
CCCCC(=O)OCC,-2.49,"This molecule is a fatty acid ester. This molecule is a metabolite found in or produced by Saccharomyces cerevisiae. This molecule is a natural product found in Heracleum dissectum, Nepeta nepetella, and other organisms with data available.",CHEMBL47483
c1ccc(cc1)S,-2.55,,
CC(=CCC/C(=C\CO)/C)C,-4.78,,
c1ccc2c(c1)CCC2,-1.46,This molecule is an ortho-fused bicyclic hydrocarbon consisting of a benzene ring fused to a cyclopentane ring; a high-boiling (176 (o)C) colourless liquid. It is a member of indanes and an ortho-fused bicyclic hydrocarbon.,CHEMBL370687
CCOc1ccccc1,-2.22,This molecule is an aromatic ether in which the ether oxygen is bonded to an ethyl and a phenyl group. This molecule is a natural product found in Scutellaria barbata with data available.,CHEMBL499585
c1cc(ccc1O)Br,-5.85,,
CCCC(C)(C)C,2.88,,
CC(=O)OCCOC(=O)C,-6.34,,
