smiles,lipo,description
Cn1c(CN2CCN(CC2)c3ccc(Cl)cc3)nc4ccccc14,3.54,
COc1cc(OC)c(cc1NC(=O)CSCC(=O)O)S(=O)(=O)N2C(C)CCc3ccccc23,-1.18,
COC(=O)[C@@H](N1CCc2sccc2C1)c3ccccc3Cl,3.69,
OC[C@H](O)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3,3.37,
Cc1cccc(C[C@H](NC(=O)c2cc(nn2C)C(C)(C)C)C(=O)NCC#N)c1,3.1,
OC1(CN2CCC1CC2)C#Cc3ccc(cc3)c4ccccc4,3.14,
COc1cc(OC)c(cc1NC(=O)CCC(=O)O)S(=O)(=O)NCc2ccccc2N3CCCCC3,-0.72,
CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2C)n1,0.34,
COc1ccc(cc1)C2=COc3cc(OC)cc(OC)c3C2=O,3.05,
Oc1ncnc2scc(c3ccsc3)c12,2.25,
CS(=O)(=O)c1ccc(Oc2ccc(cc2)C#C[C@]3(O)CN4CCC3CC4)cc1,1.51,
C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3,2.61,
O=C1CCCCCN1,-0.08,"This molecule is a clear to milky white-colored solution with a mild, disagreeable odor. Contact may cause slight irritation to skin, eyes, and mucous membranes. May be mildly toxic by ingestion. The primary hazard is the threat to the environment. Immediate steps should be taken to limit its spread to the environment. As a liquid it can easily penetrate the soil and contaminate groundwater and nearby streams. Used to make other chemicals. This molecule is a member of the class of caprolactams that is azepane substituted by an oxo group at position 2. It has a role as a human blood serum metabolite. This molecule is used in the manufacture of synthetic fibers. Acute (short-term) exposure to caprolactam may result in irritation and burning of the eyes, nose, throat, and skin in humans. Headaches, malaise, confusion, and nervous irritation have been observed in workers exposed to caprolactam by inhalation. Chronic (long-term) exposure of workers to caprolactam has been observed to cause peeling of the hands and some eye, nose, and throat irritation, but no other effects on general health. EPA has not classified caprolactam for carcinogenicity. This molecule is a natural product found in Fagopyrum esculentum, Nicotiana tabacum, and Vitis vinifera with data available."
CCCSc1ncccc1C(=O)N2CCCC2c3ccncc3,1.95,
CC1CCCCC1NC(=O)c2cnn(c2NS(=O)(=O)c3ccc(C)cc3)c4ccccc4,1.34,
Nc1ccc(cc1)c2nc3ccc(O)cc3s2,3.2,
COc1ccc(cc1)N2CCN(CC2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NCC#N,1.6,
CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(N(C)C)c2ccccc2,3.77,
COc1cc(ccc1N2CC[C@@H](O)C2)N3N=Nc4cc(sc4C3=O)c5ccc(Cl)cc5,3.15,
CO[C@H]1CN(CCN2C(=O)C=Cc3ccc(cc23)C#N)CC[C@H]1NCc4ccc5OCC(=O)Nc5n4,0.32,
CC(C)(CCCCCOCCc1ccccc1)NCCc2ccc(O)c3nc(O)sc23,2.92,
Clc1ccc(cc1)C(=O)Nc2oc(nn2)C(=O)Nc3ccc(cc3)N4CCOCC4,1.92,
COc1ccc(Oc2cccc(CN3CCCC(C3)N4C=C(C)C(=O)NC4=O)c2)cc1,3.17,
OC(=O)c1cccc(c1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2,2.17,
CNCC[C@@H](Oc1ccccc1C)c2ccccc2,1.2,
Clc1ccc(N2CCN(CC2)C(=O)CCCc3ccncc3)c(Cl)c1,3.93,
COc1cnc(nc1N(C)C)c2ccccn2,1.9,
C(CCCCNc1cc(nc2ccccc12)c3ccccc3)CCCNc4cc(nc5ccccc45)c6ccccc6,2.27,
CSc1c(cnn1c2ccc(cc2)C(=O)O)C(=O)NC3C4CC5CC(CC3C5)C4,1.2,
CNC1=Nc2ncccc2C(=NC1c3cccs3)c4occn4,1.14,
CS(=O)(=O)C1(CC1)c2cc(nc(n2)c3cccc4[nH]ccc34)N5CC6CCC(C5)O6,2.6,
CN([C@@H]1CCN(Cc2ccc(cc2)C(F)(F)F)C[C@@H]1F)C(=O)Cc3ccc(cc3)n4cnnn4,3.3,
